MWT,MF,PARENT_MWT,SMILES,SUPPLIER_NAME,CATALOG_NUMBER,PRICE_CODE,CAS,CHEMICAL_NAME,MFCD,EMOLECULES_ID
405.3,C22H17BrN2O,405.3,COc1ccc(cc1Br)-c1nc(c([nH]1)-c1ccccc1)-c1ccccc1,ChemDiv SC,6220,,,"2-(3-bromo-4-methoxyphenyl)-4,5-diphenyl-1H-imidazole",,1937097
360.39,C22H17FN2O2,360.39,COc1ccc(cc1O)-c1nc(c([nH]1)-c1ccccc1)-c1ccc(F)cc1,ChemDiv SC,4394,,,5-[4-(4-fluorophenyl)-5-phenyl-1H-imidazol-2-yl]-2-methoxyphenol,,2169189
350.22,C18H12BrN3,350.22,Nc1nc(cc(-c2cccc(Br)c2)c1C#N)-c1ccccc1,ChemDiv SC,8008,,,2-amino-4-(3-bromophenyl)-6-phenylpyridine-3-carbonitrile,,2362729
280.35,C16H12N2OS,280.35,Nc1nc(c(s1)C(=O)c1ccccc1)-c1ccccc1,ChemDiv SC,241,,,"(2-amino-4-phenyl-1,3-thiazol-5-yl)(phenyl)methanone",MFCD00428681,2381944
348.41,C20H20N4O2,348.41,CC(C)OC(=O)C1=C(C)Nc2nc3ccccc3n2C1c1cccnc1,ChemDiv SC,8020,,,"propan-2-yl 2-methyl-4-(pyridin-3-yl)-1,4-dihydropyrimido[1,2-a]benzimidazole-3-carboxylate",,2553697
353.44,C19H19N3O2S,353.44,CCOC(=O)C1=C(C)Nc2nc3ccccc3n2C1c1sccc1C,ChemDiv SC,7695,,,"ethyl 2-methyl-4-(3-methylthiophen-2-yl)-1,4-dihydropyrimido[1,2-a]benzimidazole-3-carboxylate",,2581695
349.39,C20H19N3O3,349.39,CCOC(=O)C1=C(C)Nc2nc3ccccc3n2C1c1ccc(O)cc1,ChemDiv SC,7695,,,"ethyl 4-(4-hydroxyphenyl)-2-methyl-1,4-dihydropyrimido[1,2-a]benzimidazole-3-carboxylate",,2581697
412.29,C20H18BrN3O2,412.29,CCOC(=O)C1=C(C)Nc2nc3ccccc3n2C1c1ccc(Br)cc1,ChemDiv SC,0,,,"ethyl 4-(4-bromophenyl)-2-methyl-1,4-dihydropyrimido[1,2-a]benzimidazole-3-carboxylate",,2716960
348.48,C20H16N2S2,348.48,N#Cc1c(SCc2ccccc2)nc(cc1-c1cccs1)C1CC1,ChemDiv SC,3343,,,2-(benzylsulfanyl)-6-cyclopropyl-4-(thiophen-2-yl)pyridine-3-carbonitrile,,2966955
316.38,C16H16N2O3S,316.38,CCOC(=O)c1sc(NC(=O)C2CC2)nc1-c1ccccc1,ChemDiv SC,0,,,"ethyl 2-[(cyclopropanecarbonyl)amino]-4-phenyl-1,3-thiazole-5-carboxylate",,3539194
367.47,C20H21N3O2S,367.47,CC(C)OC(=O)C1=C(C)Nc2nc3ccccc3n2C1c1sccc1C,ChemDiv SC,8561,,,"propan-2-yl 2-methyl-4-(3-methylthiophen-2-yl)-1,4-dihydropyrimido[1,2-a]benzimidazole-3-carboxylate",,3739244
361.44,C22H23N3O2,361.44,CC(C)OC(=O)C1=C(C)Nc2nc3ccccc3n2C1c1ccc(C)cc1,ChemDiv SC,8561,,,"propan-2-yl 2-methyl-4-(4-methylphenyl)-1,4-dihydropyrimido[1,2-a]benzimidazole-3-carboxylate",,3739246
381.86,C21H20ClN3O2,381.86,CC(C)OC(=O)C1=C(C)Nc2nc3ccccc3n2C1c1ccc(Cl)cc1,ChemDiv SC,8561,,,"propan-2-yl 4-(4-chlorophenyl)-2-methyl-1,4-dihydropyrimido[1,2-a]benzimidazole-3-carboxylate",,3739248
