experiment,batch,plate_id,well.name,treatment_type,Stimulant,Stimulant dose,Stimulant unit,Treatment,Treatment concentration,Treatment unit,Treatment 2,Treatment 2 concentration,Treatment 2 unit,obj.Mean(area).um2.meas,dmso_median_raw,fsk_2_5uM_median_raw,normalized_cyst_swelling_pct
compound_exploration,4042,1,N07,treatment,FSK,2.5,uM,Benidipine,0.001,uM,Aldosterone,1.0,uM,2529.758,1631.0785,3117.0,60.4796081085037
compound_exploration,4042,1,N08,treatment,FSK,2.5,uM,Benidipine,0.001,uM,Aldosterone,1.0,uM,2446.453,1631.0785,3117.0,54.873322715903896
compound_exploration,4042,1,N09,treatment,FSK,2.5,uM,Z318400112,0.001,uM,DMSO,0.1,pct,3089.464,1631.0785,3117.0,98.14687384225883
compound_exploration,4042,1,N10,treatment,FSK,2.5,uM,Z318400112,0.001,uM,DMSO,0.1,pct,3192.453,1631.0785,3117.0,105.07785909282556
compound_exploration,4042,1,N11,treatment,FSK,2.5,uM,Z318400112,0.001,uM,Aldosterone,1.0,uM,2542.409,1631.0785,3117.0,61.330998979421196
compound_exploration,4042,1,N12,treatment,FSK,2.5,uM,Z318400112,0.001,uM,Aldosterone,1.0,uM,2518.426,1631.0785,3117.0,59.71698370337867
compound_exploration,4042,1,N13,treatment,FSK,2.5,uM,Z90308949,0.001,uM,DMSO,0.1,pct,3182.06,1631.0785,3117.0,104.37842779716156
compound_exploration,4042,1,N14,treatment,FSK,2.5,uM,Z90308949,0.001,uM,DMSO,0.1,pct,3202.222,1631.0785,3117.0,105.73529624546116
compound_exploration,4042,1,N15,treatment,FSK,2.5,uM,Z90308949,0.001,uM,Aldosterone,1.0,uM,2704.745,1631.0785,3117.0,72.2559368041986
compound_exploration,4042,1,N16,treatment,FSK,2.5,uM,Z90308949,0.001,uM,Aldosterone,1.0,uM,2560.421,1631.0785,3117.0,62.5431760695299
compound_exploration,4042,1,N17,treatment,FSK,2.5,uM,Z95680027,0.001,uM,DMSO,0.1,pct,3007.839,1631.0785,3117.0,92.65364960396629
compound_exploration,4042,1,N18,treatment,FSK,2.5,uM,Z95680027,0.001,uM,DMSO,0.1,pct,2961.646,1631.0785,3117.0,89.54493894865914
compound_exploration,4042,1,N19,treatment,FSK,2.5,uM,Z95680027,0.001,uM,Aldosterone,1.0,uM,2447.765,1631.0785,3117.0,54.96161809355338
compound_exploration,4042,1,N20,treatment,FSK,2.5,uM,Z95680027,0.001,uM,Aldosterone,1.0,uM,2570.368,1631.0785,3117.0,63.21259232065758
compound_exploration,4042,1,N21,tox_ctrl,FSK,2.5,uM,staurosporin,1.0,uM,DMSO,0.1,pct,3136.58,1631.0785,3117.0,101.31770083412886
compound_exploration,4042,1,N22,tox_ctrl,FSK,2.5,uM,staurosporin,1.0,uM,DMSO,0.1,pct,3232.987,1631.0785,3117.0,107.80572863371316
compound_exploration,4042,2,C03,ref_ctrl,FSK,2.5,uM,rapamycin,0.03,uM,DMSO,0.1,pct,2204.601,1639.897,3101.911,38.62507472568663
compound_exploration,4042,2,C04,ref_ctrl,FSK,2.5,uM,rapamycin,0.03,uM,DMSO,0.1,pct,2356.103,1639.897,3101.911,48.987629393425784
compound_exploration,4042,2,C05,treatment,FSK,2.5,uM,DMSO,0.1,pct,CPA,1.0,uM,2936.344,1639.897,3101.911,88.67541624088415
compound_exploration,4042,2,C06,treatment,FSK,2.5,uM,DMSO,0.1,pct,CPA,1.0,uM,2942.247,1639.897,3101.911,89.0791743444317
compound_exploration,4042,2,C07,treatment,FSK,2.5,uM,DPCPX,1.0,uM,DMSO,0.1,pct,3160.973,1639.897,3101.911,104.03976979700604
compound_exploration,4042,2,C08,treatment,FSK,2.5,uM,DPCPX,1.0,uM,DMSO,0.1,pct,3271.2,1639.897,3101.911,111.57916408461203
compound_exploration,4042,2,C09,treatment,FSK,2.5,uM,DPCPX,1.0,uM,CPA,1.0,uM,3182.68,1639.897,3101.911,105.52450250134402
compound_exploration,4042,2,C10,treatment,FSK,2.5,uM,DPCPX,1.0,uM,CPA,1.0,uM,3191.097,1639.897,3101.911,106.10021518261796
compound_exploration,4042,2,C11,tox_ctrl,FSK,2.5,uM,staurosporin,1.0,uM,DMSO,0.1,pct,1337.239,1639.897,3101.911,-20.701443351431646
compound_exploration,4042,2,C12,tox_ctrl,FSK,2.5,uM,staurosporin,1.0,uM,DMSO,0.1,pct,1304.185,1639.897,3101.911,-22.96229721466415
compound_exploration,4042,2,C13,solvent_ctrl,DMSO,0.1,pct,DMSO,0.1,pct,DMSO,0.1,pct,1584.83,1639.897,3101.911,-3.766516599704244
compound_exploration,4042,2,C14,solvent_ctrl,DMSO,0.1,pct,DMSO,0.1,pct,DMSO,0.1,pct,1635.478,1639.897,3101.911,-0.30225428757863254
compound_exploration,4042,2,D03,ref_ctrl,FSK,2.5,uM,rapamycin,0.03,uM,DMSO,0.1,pct,2254.248,1639.897,3101.911,42.020869841191676
compound_exploration,4042,2,D04,ref_ctrl,FSK,2.5,uM,rapamycin,0.03,uM,DMSO,0.1,pct,2204.989,1639.897,3101.911,38.651613459241844
compound_exploration,4042,2,D05,treatment,FSK,2.5,uM,DMSO,0.1,pct,CPA,1.0,uM,2674.915,1639.897,3101.911,70.7939869248858
compound_exploration,4042,2,D06,treatment,FSK,2.5,uM,DMSO,0.1,pct,CPA,1.0,uM,2988.991,1639.897,3101.911,92.27640774985737
compound_exploration,4042,2,D07,treatment,FSK,2.5,uM,DPCPX,1.0,uM,DMSO,0.1,pct,3525.905,1639.897,3101.911,129.00067988405036
compound_exploration,4042,2,D08,treatment,FSK,2.5,uM,DPCPX,1.0,uM,DMSO,0.1,pct,3306.724,1639.897,3101.911,114.00896297846668
compound_exploration,4042,2,D09,treatment,FSK,2.5,uM,DPCPX,1.0,uM,CPA,1.0,uM,3168.518,1639.897,3101.911,104.55583872657854
compound_exploration,4042,2,D10,treatment,FSK,2.5,uM,DPCPX,1.0,uM,CPA,1.0,uM,3217.436,1639.897,3101.911,107.90177111847083
compound_exploration,4042,2,D11,tox_ctrl,FSK,2.5,uM,staurosporin,1.0,uM,DMSO,0.1,pct,1323.465,1639.897,3101.911,-21.643568392641928
compound_exploration,4042,2,D12,tox_ctrl,FSK,2.5,uM,staurosporin,1.0,uM,DMSO,0.1,pct,1359.785,1639.897,3101.911,-19.159324055720386
compound_exploration,4042,2,D13,solvent_ctrl,DMSO,0.1,pct,DMSO,0.1,pct,DMSO,0.1,pct,1549.918,1639.897,3101.911,-6.154455429291378
compound_exploration,4042,2,D14,solvent_ctrl,DMSO,0.1,pct,DMSO,0.1,pct,DMSO,0.1,pct,1596.642,1639.897,3101.911,-2.9585899998221548
compound_exploration,4042,2,E03,solvent_ctrl,DMSO,0.1,pct,DMSO,0.1,pct,DMSO,0.1,pct,1695.254,1639.897,3101.911,3.7863522510728327
