"batch.code","well.name","plate.layout.info.Type","plate.layout.info.Stimulant","plate.layout.info.Stimulant dose","plate.layout.info.Stimulant unit","plate.layout.info.Stimulation solvent","plate.layout.info.Treatment","plate.layout.info.Treatment concentration","plate.layout.info.Treatment unit","plate.layout.info.Treatment solvent","plate.layout.info.Treatment 2","plate.layout.info.Treatment 2 concentration","plate.layout.info.Treatment 2 unit","plate.layout.info.Treatment 2 solvent","ID","obj.Mean(area).um2.meas","obj.Mean(area).meas.npi_plate","Fraction_dead_cells","increase_death_cells_pct","obj.count_corrected.meas"
"4042","I05","treatment","FSK",2.5,"uM","0.1pctDMSO","Benidipine",1,"uM","0.1pctDMSO","DMSO",0.1,"pct","0.1pctDMSO","4042_1",2816.305,79.73689680461524,0.183,-2.5500000000000025,814
"4042","I06","treatment","FSK",2.5,"uM","0.1pctDMSO","Benidipine",1,"uM","0.1pctDMSO","DMSO",0.1,"pct","0.1pctDMSO","4042_1",3091.518,97.92586937395663,0.186,-2.2500000000000018,844
"4042","I07","treatment","FSK",2.5,"uM","0.1pctDMSO","Benidipine",1,"uM","0.1pctDMSO","Aldosterone",1,"uM","0.1pctDMSO","4042_1",2531.834,60.93646575078624,0.157,-5.150000000000002,844
"4042","I08","treatment","FSK",2.5,"uM","0.1pctDMSO","Benidipine",1,"uM","0.1pctDMSO","Aldosterone",1,"uM","0.1pctDMSO","4042_1",2643.413,68.31022279974952,0.178,-3.0500000000000025,804
"4042","I09","treatment","FSK",2.5,"uM","0.1pctDMSO","Z318400112",1,"uM","0.1pctDMSO","DMSO",0.1,"pct","0.1pctDMSO","4042_1",3052.092,95.31967574224096,0.164,-4.450000000000001,761
"4042","I10","treatment","FSK",2.5,"uM","0.1pctDMSO","Z318400112",1,"uM","0.1pctDMSO","DMSO",0.1,"pct","0.1pctDMSO","4042_1",3295.677,111.41839456415501,0.18,-2.8500000000000023,786
"4042","I11","treatment","FSK",2.5,"uM","0.1pctDMSO","Z318400112",1,"uM","0.1pctDMSO","Aldosterone",1,"uM","0.1pctDMSO","4042_1",2584.271,64.40162956823589,0.174,-3.450000000000003,879
"4042","I12","treatment","FSK",2.5,"uM","0.1pctDMSO","Z318400112",1,"uM","0.1pctDMSO","Aldosterone",1,"uM","0.1pctDMSO","4042_1",2415.688,53.26011693184844,0.178,-3.0500000000000025,886
"4042","I13","treatment","FSK",2.5,"uM","0.1pctDMSO","Z90308949",1,"uM","0.1pctDMSO","DMSO",0.1,"pct","0.1pctDMSO","4042_1",2982.458,90.71804974723742,0.188,-2.0500000000000016,748
"4042","I14","treatment","FSK",2.5,"uM","0.1pctDMSO","Z90308949",1,"uM","0.1pctDMSO","DMSO",0.1,"pct","0.1pctDMSO","4042_1",3174.331,103.3990154437715,0.188,-2.0500000000000016,757
"4042","I15","treatment","FSK",2.5,"uM","0.1pctDMSO","Z90308949",1,"uM","0.1pctDMSO","Aldosterone",1,"uM","0.1pctDMSO","4042_1",2491.773,58.28843915547963,0.17,-3.8500000000000005,854
"4042","I16","treatment","FSK",2.5,"uM","0.1pctDMSO","Z90308949",1,"uM","0.1pctDMSO","Aldosterone",1,"uM","0.1pctDMSO","4042_1",2475.297,57.19938766999544,0.171,-3.7500000000000004,816
"4042","I17","treatment","FSK",2.5,"uM","0.1pctDMSO","Z95680027",1,"uM","0.1pctDMSO","DMSO",0.1,"pct","0.1pctDMSO","4042_1",3237.381,107.56557861742928,0.17,-3.8500000000000005,802
"4042","I18","treatment","FSK",2.5,"uM","0.1pctDMSO","Z95680027",1,"uM","0.1pctDMSO","DMSO",0.1,"pct","0.1pctDMSO","4042_1",3387.875,117.51206292723553,0.18,-2.8500000000000023,742
